Gene_symbol,Cell_type,Mean_log2_fold_change,Adjusted_p_value
Filip1l,SMC,1.9668194823960705,3.4543909240149303e-22
Ntrk2,SMC,4.7153429391277815,5.376948509160187e-22
Dmd,SMC,2.9264750352971527,4.744937863760615e-21
Sgcz,SMC,5.416679802,5.303136183791625e-21
Fam13c,SMC,2.441943925039304,6.738261395168269e-21
Mertk,SMC,2.1316179009157854,8.434157484039609e-21
Setbp1,SMC,2.190069992787348,1.5823109661450016e-20
Gm47405,SMC,7.698314934470382,1.772789092121501e-20
Kcnj2,SMC,3.768440798508822,2.512579648371948e-20
Map3k5,SMC,2.6457889035140223,3.337592230798859e-20
Neo1,SMC,2.617329710418032,3.5282132891593634e-20
Cap2,SMC,2.1009776022859707,3.8559036750654034e-20
2900026A02Rik,SMC,2.605642955036471,1.6022010791952286e-19
Hecw1,SMC,5.5673042429648785,2.643088645389681e-19
Plpp3,SMC,2.1422782910152653,4.399809685508462e-19
Sorbs1,SMC,2.009690757876654,1.3154406371275766e-18
Gm36287,SMC,8.252216238,2.171580498884194e-18
Gm41361,SMC,3.2155384379603493,5.709908351955529e-18
Mylk,SMC,1.6787793286567816,7.012805231826938e-18
Arhgap44,SMC,2.8257357490711503,7.358096331475043e-18
Flna,SMC,2.2002570467876197,8.585911740143192e-18
Sox6os,SMC,4.372783324706207,1.3440720799125509e-17
Fgf1,SMC,2.6454066369784175,1.5423363324848516e-17
Arid5a,SMC,2.257563979707257,2.8919858625980574e-17
Rcan2,SMC,2.144929032918525,4.86789481975861e-17
Mtss1,SMC,2.533782337077488,7.828434681287669e-17
Actn1,SMC,2.034640319267312,1.0860699451050233e-16
Fat3,SMC,3.955164274988859,1.2914336963373664e-16
Astn1,SMC,2.8980169691092037,1.2985183126838292e-16
Uba2,SMC,1.9884268130898426,1.3302754779843524e-16
Rbpms2,SMC,1.8931964336024023,1.714551611485997e-16
Efnb2,SMC,2.8296358138943556,3.270020337142349e-16
Prkag2,SMC,2.6266149295002226,5.492140787618686e-16
Ldb3,SMC,1.863182362,7.097847408870919e-16
Itgb3,SMC,3.6332936107514695,7.841283725944254e-16
Hey2,SMC,1.993899830420472,9.918750548545419e-16
Ppp1r12b,SMC,1.875000178886112,1.3427953145548254e-15
Sema3f,SMC,2.838154055162094,2.924452844161698e-15
Dock5,SMC,2.7222799498267283,3.4902897722267577e-15
Hip1,SMC,1.8682101549325343,4.20016334873527e-15
Dhcr24,SMC,3.4283341393491282,5.527482217017609e-15
Cd9,SMC,2.2429847112448353,6.347870142781281e-15
Camk2g,SMC,1.8449584222970938,6.4997446227061575e-15
Sort1,SMC,2.060864880655055,8.63199104429249e-15
Dstn,SMC,2.1838894738095465,1.3179409591605746e-14
Smarcd3,SMC,2.170659163,1.5515183434815514e-14
Synpo2,SMC,2.578464684779906,1.917682339453906e-14
Ccn1,SMC,2.4558311533802364,1.9494043964780044e-14
Tenm4,SMC,2.8713181042016442,2.2428553919307797e-14
Fam241a,SMC,1.974179046558473,2.3685271567204787e-14
Fgl2,SMC,3.2783975908970753,2.4423190527816783e-14
Gm11266,SMC,3.1551554644894146,2.6827179833537043e-14
Carns1,SMC,3.6515409299445336,2.844894825308018e-14
Gm13986,SMC,4.388756455911246,3.051760964141126e-14
Nmnat2,SMC,4.572035889443276,3.082439170003651e-14
Tpm1,SMC,1.1459541977088596,3.115030119562371e-14
Tspan2,SMC,2.602822590513271,3.8576775057754026e-14
Bmp6,SMC,3.137295346799264,6.533319977765456e-14
Synpo,SMC,2.6936960024252254,6.696570876257802e-14
Plekho1,SMC,2.677645026,7.502912527097012e-14
P2rx1,SMC,6.756564078932256,8.185202906862745e-14
Ptger3,SMC,7.2206363463801795,8.339604371554555e-14
Lhcgr,SMC,6.960054512151284,8.339604371554555e-14
Myo1d,SMC,1.683573074859141,8.887967928630516e-14
B3galnt2,SMC,2.2149783942311236,9.267941062416409e-14
Tmem51,SMC,2.038154765020624,9.694501419944622e-14
Slc4a3,SMC,2.102227247770927,1.0240037159054959e-13
Aopep,SMC,1.337973429679648,1.2646160101176703e-13
Ppp1r12a,SMC,1.6734764982027004,1.8712816909221241e-13
Pgf,SMC,3.4199744382287647,2.080626489504478e-13
Cacna1d,SMC,2.634571014443293,2.329251278790486e-13
Parm1,SMC,1.9238532757917564,3.0473457134541964e-13
Tph2,SMC,8.774045106420024,4.564526381352319e-13
Syt15,SMC,7.231536946896121,4.564526381352319e-13
Relt,SMC,5.061846986548669,6.034475539499256e-13
Id2,SMC,2.383596415914817,6.089355485420662e-13
Slc45a4,SMC,2.401197325,6.62350884617746e-13
Synj2,SMC,2.771520182700781,9.80955287732201e-13
Ackr3,SMC,2.8690019577017245,1.251279593583217e-12
Fzd2,SMC,2.908486642431523,1.5314396360561823e-12
Kank1,SMC,2.2610256255083723,1.5323257094012146e-12
Rbpms,SMC,1.0257007175145088,3.0634737294616242e-12
Pip5k1b,SMC,2.0350424692393596,3.394312288020384e-12
Csrp2,SMC,2.1941949664432583,4.4987123657279795e-12
Mob2,SMC,1.8737743942600416,5.034426888467757e-12
Mical3,SMC,2.183654197419027,6.154340508405704e-12
B230319C09Rik,SMC,4.284079959478355,8.039393969656863e-12
Gucy2g,SMC,4.343562998140251,8.131232562776781e-12
Fyb2,SMC,3.8225238395844996,8.131232562776781e-12
Gcnt4,SMC,3.693251484952049,8.606165469429091e-12
Pdgfa,SMC,1.6428317156877998,1.4820431528132294e-11
Swap70,SMC,2.105110896667029,1.6482034872604808e-11
Cacnb2,SMC,1.5200933264883267,1.6797937604477675e-11
Itga10,SMC,3.165530555498225,2.3852447199625863e-11
Neu3,SMC,4.125668204202179,2.4370585383152884e-11
Myl6,SMC,1.4399977339768708,2.5414052304592432e-11
Pdlim5,SMC,2.0381923196279166,4.0843251710181835e-11
Filip1,SMC,1.384719627,5.2205261852605286e-11
Fbxl2,SMC,1.943457803599177,5.5051683010059875e-11
Pex5l,SMC,3.520856544072277,5.5518595970533096e-11
Tox2,SMC,2.9183599924202843,6.489441404504659e-11
Pcyox1l,SMC,4.6310701783778345,7.883630566357199e-11
Gm20732,SMC,1.7249332936240096,9.19522604720306e-11
Ndst1,SMC,2.0193748512774907,9.277395350745264e-11
Slc16a11,SMC,5.496088210155909,9.921115412927961e-11
Adamts15,SMC,4.132667524622704,9.944503941961656e-11
Nudt4,SMC,2.7589883656683685,1.0343399295170751e-10
Gm35110,SMC,3.8148898440736216,1.0553469404708154e-10
Phldb2,SMC,1.8256996410580109,1.1237531152765075e-10
Mmp17,SMC,4.745753036722062,1.5398940826380627e-10
Efhd1,SMC,4.387749011690184,1.605571033951336e-10
Myh10,SMC,2.3847207079426496,1.9888906745713052e-10
Arvcf,SMC,2.5962043190414237,3.050823824355461e-10
Spint2,SMC,2.6799893031209248,3.4643954059536466e-10
Cavin1,SMC,1.1948031620321908,4.657477449216888e-10
Lrrc32,SMC,1.7162766563550658,6.131902657393238e-10
Tenm2,SMC,2.9443402898334545,6.370718704606802e-10
Slc7a2,SMC,3.046224742070737,6.41989076617952e-10
Ripor2,SMC,2.181263695410098,6.6443896979581e-10
Pi15,SMC,2.852461055751795,7.663340589810027e-10
Dpysl3,SMC,1.991632350741236,9.144107563916199e-10
Akap6,SMC,1.3980586940229511,9.479553171503057e-10
Pcp4l1,SMC,2.0148043152287376,1.2147051161456568e-9
Usp20,SMC,2.1813943727042804,1.416733608513019e-9
Fry,SMC,1.3333100464318814,1.4966588780500446e-9
Rnf152,SMC,2.608497182291762,1.5099884476723599e-9
Map1b,SMC,1.5854699469629514,1.969565311983168e-9
Gm16499,SMC,4.384389292301489,2.3749976228469757e-9
Gm11627,SMC,3.5173800188605857,2.4296651017161823e-9
Scube3,SMC,3.106435525359172,2.5629379343065996e-9
Slc8a2,SMC,3.5307645178223996,2.6011960138381026e-9
Atcayos,SMC,2.597209721077446,2.632389298236208e-9
Asb2,SMC,1.7565038554248475,2.810075486728795e-9
Nacc2,SMC,2.188454967787317,2.9029139915278295e-9
Slc1a5,SMC,2.005309896182823,3.0547124255405386e-9
Ckb,SMC,2.0436094123492015,3.6332162493400294e-9
Angpt1,SMC,2.8670498675920664,4.271777534420553e-9
Nav2,SMC,2.729612753803884,8.259713390007634e-9
Nexn,SMC,1.4415407771169517,8.906756785588848e-9
